Code,Lmax,K,A50,Amax,L50,M,Fec,L50.Lmax,Adult,Z/K,Mort,Lc.L50,Manag.,Strategy,Avail,EncoutValue,genus,spp,Ocean,spCode,Fam,CATOCE,linf,TrofL,IV,Phy,mm,mmm
BUMind,355,0.144,3,28,141.7,0.239522618,4.15,0.399,NA,2.57,50,NA,REG,High,high,BY/KC,Makaira,nigricans,IND,BUM,IST,INDBY/KC,358,NA,72,NA,,,
SFAind,350,0.145,NA,10,174,0.264814354,2.09,0.497142857,NA,0.69,60,NA,REG,High,high,BY/KC,Istiophorus,platypterus,IND,SFA,IST,INDBY/KC,366,4.5,46,4.288330173,,,
BLMind,461,0.09,3.5,20,282.6,0.15172511,NA,0.613015184,NA,2.08,0,NA,REG,High,high,BY/KC,Istiompax,indica,IND,BLM,IST,INDBY/KC,471,4.5,62,4.300284324,,,
SSPind,267,0.164,4,NA,131,0.268689249,10.7,0.490636704,100,7.63,NA,1.310687023,NO,High,high,BY/KC,Tetrapturus,angustirostris,IND,SSP,IST,INDBY/KC,270,NA,46,4.077571376,,,
MLSind,382,0.3,2.5,10,182.46,0.420927327,12,0.477643979,100,1.47,17,1.315356791,REG,High,high,BY/KC,Kajikia,audax,IND,MLS,IST,INDBY/KC,385,NA,45,NA,,,
WAHind,162,0.205,0.583333333,NA,104.6,0.41171918,2.81,0.645679012,76,NA,NA,1.164531549,NO,High,high,BY/KC,Acanthocybium,solandri,IND,WAH,SCO,INDBY/KC,165,NA,50,3.746721749,,,
EUTind,100,0.42,0.62,9,37.7,0.9,0.9175,0.377,NA,NA,NA,NA,GOOD,Low,high,BY/KA,Euthynnus,affinis,IND,EUT,SCO,INDBY/KA,117,4.5,60,3.759621014,,,
SKJind,110,0.5,2,8,42,0.8,0.665,0.381818182,NA,NA,85,NA,GOOD,High,high,BY/KA,Katsuwonus,pelamis,IND,SKJ,SCO,INDBY/KA,92,4.5,55,3.626545659,,,
ALBind,164,0.126,5.5,10,90,0.2207,1.545,0.548780488,55,0.82,91,0.950111111,GOOD,High,high,T,Thunnus,alalunga,IND,ALB,SCO,INDT,171.4,NA,62,3.56839218,,,
YFTind,240,0.3,1.7,9,101,0.4,2.8,0.42,93,0.92,56,1.17,GOOD,High,high,T,Thunnus,albacares,IND,YFT,SCO,INDT,197.42,4.5,60,4.06790355,,,
